ID_UNIVERSAL,NIVEL_ESTUDIO_MAXIMO
1004394,
107066,Ciclos formativos de grado medio o superior
107104,
107176,Titulación universitaria de grado superior
107179,
107246,
107250,Máster o Programa de Postgrado
108027,
108365,
108418,
108835,
108942,
108968,
108984,
109371,
110102,
1102,
110246,
110476,
110477,
110479,
110486,
110529,Ciclos formativos de grado medio o superior
110760,
110766,
111735,Ciclos formativos de grado medio o superior
111744,
111764,
111768,
111840,
111875,
112173,
112222,Educación secundaria
1126,
1142,Educación secundaria
115023,
115024,
115070,
115085,
115091,
115092,
115115,
115117,Educación secundaria
115124,
115128,
115129,
115131,
115145,Educación secundaria
115147,Ciclos formativos de grado medio o superior
115150,
115154,
115167,
115174,
115178,
115184,
115199,
115217,
115218,
115220,
115236,
115237,
115240,
115246,
115251,
115268,
115269,
115272,
115277,
115278,
115307,
115309,
115318,
115326,
115330,
115334,
115341,
115347,
115351,
115354,
115357,Ingeniería superior
115363,
115366,
115368,
115380,
115381,
115404,
115406,
115421,
115444,Educación secundaria
115445,
115481,
115497,Educación secundaria
115500,Ciclos formativos de grado medio o superior
115501,Educación primaria
115524,
115531,
115532,
115535,
115537,Educación primaria
115546,
115548,
115562,
115575,
115578,
115580,
115595,
115608,
115609,
115613,
115614,
115618,Ciclos formativos de grado medio o superior
115621,
115632,
115637,
115639,Ciclos formativos de grado medio o superior
115653,Ciclos formativos de grado medio o superior
115655,
115656,
115662,
115686,Educación secundaria
115694,
115695,
115696,
115697,
115698,
115699,
115706,Educación secundaria
115707,
115711,
115712,
115736,
115756,
115759,
115765,
115768,Educación secundaria
115770,Ciclos formativos de grado medio o superior
115771,
115773,
115774,Máster o Programa de Postgrado
115775,
115777,
115781,
115788,
115792,Educación primaria
115798,
115800,Educación primaria
115807,
115811,
115812,
115813,
115818,
115832,Educación secundaria
115843,
115849,
115851,
115867,
115875,
115877,
115878,Educación primaria
115885,
115983,
116208,
116211,
116213,Educación secundaria
116217,
116318,
116321,
116323,
116325,
116332,
116333,
116343,
116346,
116355,
116364,
116365,
116368,
116378,
116379,
116390,Ciclos formativos de grado medio o superior
116395,
116396,Ciclos formativos de grado medio o superior
116407,
116412,
116418,Educación secundaria
116422,
116434,
116439,
116445,
116447,
116451,
116468,
116480,
116483,
116495,
116500,
116507,
116512,
116513,
116515,
116520,
116529,
116536,Ciclos formativos de grado medio o superior
116540,
116541,Titulación universitaria de grado medio
116549,
116552,
116553,
