ID_UNIVERSAL,TIPO_INTERES_MOVILIDAD
1882413,INTERNACIONAL Y NACIONAL
1859372,INTERNACIONAL Y NACIONAL
1832936,INTERNACIONAL Y NACIONAL
1825792,INTERNACIONAL Y NACIONAL
1692515,INTERNACIONAL Y NACIONAL
1511044,NACIONAL
1634826,INTERNACIONAL Y NACIONAL
1809284,INTERNACIONAL Y NACIONAL
1628602,INTERNACIONAL Y NACIONAL
1834812,INTERNACIONAL Y NACIONAL
1639212,INTERNACIONAL Y NACIONAL
1871983,INTERNACIONAL Y NACIONAL
1853078,INTERNACIONAL Y NACIONAL
1824605,INTERNACIONAL Y NACIONAL
1808750,INTERNACIONAL Y NACIONAL
1691966,INTERNACIONAL Y NACIONAL
1675193,INTERNACIONAL Y NACIONAL
1832963,INTERNACIONAL Y NACIONAL
1832140,INTERNACIONAL Y NACIONAL
1251908,NACIONAL
138108,INTERNACIONAL
1635594,INTERNACIONAL Y NACIONAL
1818609,INTERNACIONAL Y NACIONAL
1866910,NACIONAL
1865646,INTERNACIONAL Y NACIONAL
1662703,NACIONAL
124132,INTERNACIONAL
118797,INTERNACIONAL Y NACIONAL
131993,NACIONAL
1303158,NACIONAL
1640038,NACIONAL
1681685,NACIONAL
1885208,INTERNACIONAL Y NACIONAL
141455,INTERNACIONAL Y NACIONAL
1881683,INTERNACIONAL
1456910,NACIONAL
572271,INTERNACIONAL
119252,INTERNACIONAL
1893294,INTERNACIONAL Y NACIONAL
1625648,INTERNACIONAL Y NACIONAL
1838078,INTERNACIONAL Y NACIONAL
1266917,NACIONAL
139919,INTERNACIONAL
1839860,INTERNACIONAL Y NACIONAL
1260347,INTERNACIONAL Y NACIONAL
1859445,INTERNACIONAL Y NACIONAL
1844067,INTERNACIONAL Y NACIONAL
936426,NACIONAL
1636021,INTERNACIONAL Y NACIONAL
123267,INTERNACIONAL Y NACIONAL
1853627,NACIONAL
1823006,INTERNACIONAL
1598361,NACIONAL
1850575,INTERNACIONAL Y NACIONAL
1686651,INTERNACIONAL Y NACIONAL
1563152,NACIONAL
120278,INTERNACIONAL Y NACIONAL
120912,NACIONAL
1604024,INTERNACIONAL Y NACIONAL
1866694,INTERNACIONAL Y NACIONAL
1829260,INTERNACIONAL Y NACIONAL
1592227,NACIONAL
1577283,INTERNACIONAL Y NACIONAL
1658078,NACIONAL
1664561,INTERNACIONAL Y NACIONAL
1827758,NACIONAL
1842377,INTERNACIONAL Y NACIONAL
1603396,NACIONAL
1888070,INTERNACIONAL Y NACIONAL
1669475,NACIONAL
142094,INTERNACIONAL Y NACIONAL
1826507,INTERNACIONAL Y NACIONAL
1526278,NACIONAL
1869464,NACIONAL
1827807,INTERNACIONAL Y NACIONAL
1822920,INTERNACIONAL Y NACIONAL
135660,INTERNACIONAL Y NACIONAL
1444941,NACIONAL
1226891,NACIONAL
1661881,INTERNACIONAL Y NACIONAL
1829669,INTERNACIONAL Y NACIONAL
1589255,INTERNACIONAL Y NACIONAL
1844355,INTERNACIONAL Y NACIONAL
1852354,INTERNACIONAL Y NACIONAL
1873062,INTERNACIONAL Y NACIONAL
1834796,INTERNACIONAL
117189,NACIONAL
1862732,NACIONAL
1872722,INTERNACIONAL Y NACIONAL
1899555,INTERNACIONAL Y NACIONAL
1272667,NACIONAL
1628756,NACIONAL
1555203,INTERNACIONAL Y NACIONAL
270203,NACIONAL
118628,NACIONAL
132525,INTERNACIONAL Y NACIONAL
1559335,INTERNACIONAL Y NACIONAL
144890,INTERNACIONAL Y NACIONAL
1872851,NACIONAL
1845716,INTERNACIONAL Y NACIONAL
1269017,INTERNACIONAL Y NACIONAL
1669926,INTERNACIONAL Y NACIONAL
1864453,INTERNACIONAL Y NACIONAL
1855579,INTERNACIONAL Y NACIONAL
1864040,NACIONAL
1829788,NACIONAL
115338,INTERNACIONAL Y NACIONAL
932049,NACIONAL
1810153,INTERNACIONAL Y NACIONAL
1839315,INTERNACIONAL
1868861,INTERNACIONAL Y NACIONAL
1666569,INTERNACIONAL Y NACIONAL
1838900,INTERNACIONAL Y NACIONAL
1455661,INTERNACIONAL Y NACIONAL
1866323,INTERNACIONAL Y NACIONAL
1841680,NACIONAL
1602658,INTERNACIONAL Y NACIONAL
1896181,INTERNACIONAL Y NACIONAL
1665249,NACIONAL
1876971,INTERNACIONAL Y NACIONAL
1808164,NACIONAL
1843107,INTERNACIONAL Y NACIONAL
1292503,NACIONAL
1840751,INTERNACIONAL Y NACIONAL
393089,INTERNACIONAL Y NACIONAL
126636,NACIONAL
1812042,INTERNACIONAL Y NACIONAL
1877338,INTERNACIONAL Y NACIONAL
128243,NACIONAL
1865453,INTERNACIONAL Y NACIONAL
1310572,NACIONAL
1898909,NACIONAL
1857840,INTERNACIONAL
899333,INTERNACIONAL Y NACIONAL
1603984,NACIONAL
1569669,NACIONAL
1602817,NACIONAL
1829772,NACIONAL
1834924,INTERNACIONAL
1676726,NACIONAL
1888666,INTERNACIONAL
1821969,NACIONAL
